"UserName","Description","DelayedAutoStart","BinaryPathName","StartupType","Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","StartType","ServiceHandle","Status","ServiceType","Site","Container"
"","Runtime for activating conversational agent applications","False","C:\WINDOWS\system32\svchost.exe -k AarSvcGroup -p","Manual","AarSvc_7cc3d","System.ServiceProcess.ServiceController[]","False","False","False","AarSvc_7cc3d","System.ServiceProcess.ServiceController[]",".","AarSvc_7cc3d","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","224",,
"LocalSystem","The system services management agent for Intel® Software Guard Extensions enabled applications.","True","C:\WINDOWS\System32\DriverStore\FileRepository\sgx_psw.inf_amd64_ea574a1b555312cb\aesm_service.exe","AutomaticDelayedStart","AESMService","System.ServiceProcess.ServiceController[]","False","False","True","Intel® SGX AESM","System.ServiceProcess.ServiceController[]",".","AESMService","System.ServiceProcess.ServiceController[]","Automatic","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","Win32OwnProcess",,
"NT AUTHORITY\LocalService","인터넷 연결 공유를 위한 타사 프로토콜 플러그 인을 지원합니다.","False","C:\WINDOWS\System32\alg.exe","Manual","ALG","System.ServiceProcess.ServiceController[]","False","False","False","Application Layer Gateway Service","System.ServiceProcess.ServiceController[]",".","ALG","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32OwnProcess",,
"NT Authority\LocalService","응용 프로그램의 ID를 검증합니다. 이 서비스의 설정을 해제하면 AppLocker를 적용하지 못하게 됩니다.","False","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Manual","AppIDSvc","System.ServiceProcess.ServiceController[]","False","False","False","Application Identity","System.ServiceProcess.ServiceController[]",".","AppIDSvc","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32ShareProcess",,
"LocalSystem","추가적인 관리 권한으로 대화형 응용 프로그램을 보다 쉽게 실행할 수 있도록 합니다. 이 서비스가 중지되면 사용자가 원하는 사용자 작업을 수행하는 데 필요한 추가 관리자 권한을 사용하여 응용 프로그램을 시작할 수 없습니다.","False","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Manual","Appinfo","System.ServiceProcess.ServiceController[]","False","False","True","Application Information","System.ServiceProcess.ServiceController[]",".","Appinfo","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","그룹 정책을 통해 배포된 소프트웨어에 대한 설치, 제거 및 열거 요청을 처리합니다. 서비스가 사용할 수 없도록 설정된 경우 사용자는 그룹 정책을 통해 배포된 소프트웨어를 설치, 제거 또는 열거할 수 없습니다. 이 서비스를 사용하지 않으면 이 서비스에 명시적으로 종속된 모든 서비스를 시작할 수 없습니다.","False","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Manual","AppMgmt","System.ServiceProcess.ServiceController[]","False","False","False","Application Management","System.ServiceProcess.ServiceController[]",".","AppMgmt","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32ShareProcess",,
"LocalSystem","사용자가 이 PC에 처음 로그인할 때 및 새로운 앱을 추가할 때 앱을 준비합니다.","False","C:\WINDOWS\System32\svchost.exe -k AppReadiness -p","Manual","AppReadiness","System.ServiceProcess.ServiceController[]","False","False","False","App Readiness","System.ServiceProcess.ServiceController[]",".","AppReadiness","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","Manages App-V users and virtual applications","False","C:\WINDOWS\system32\AppVClient.exe","Disabled","AppVClient","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft App-V Client","System.ServiceProcess.ServiceController[]",".","AppVClient","System.ServiceProcess.ServiceController[]","Disabled","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32OwnProcess",,
"LocalSystem","Microsoft Store 응용 프로그램 배포에 대한 인프라 지원을 제공합니다. 이 서비스는 요청 시 시작되며 사용하지 않도록 설정된 경우 Microsoft Store 응용 프로그램이 시스템에 배포되지 않으며 제대로 작동하지 않을 수 있습니다.","False","C:\WINDOWS\system32\svchost.exe -k wsappx -p","Manual","AppXSvc","System.ServiceProcess.ServiceController[]","False","False","False","AppX Deployment Service (AppXSVC)","System.ServiceProcess.ServiceController[]",".","AppXSvc","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\LocalService","Windows 기반 프로그램의 가상 오디오 장치를 관리합니다.  이 서비스가 중지되면 가상 오디오 장치가 제대로 작동하지 않습니다.  이 서비스를 사용하지 않도록 설정하면 이 서비스에 명시적으로 종속된 모든 서비스를 시작할 수 없습니다.","False","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manual","ApxSvc","System.ServiceProcess.ServiceController[]","False","False","False","Windows 가상 오디오 장치 프록시 서비스","System.ServiceProcess.ServiceController[]",".","ApxSvc","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32OwnProcess",,
"NT AUTHORITY\NetworkService","Provides support for out-of-process session states for ASP.NET. If this service is stopped, out-of-process requests will not be processed. If this service is disabled, any services that explicitly depend on it will fail to start.","False","C:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\aspnet_state.exe","Manual","aspnet_state","System.ServiceProcess.ServiceController[]","False","False","False","ASP.NET State Service","System.ServiceProcess.ServiceController[]",".","aspnet_state","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32OwnProcess",,
"LocalSystem","AssignedAccessManager 서비스는 Windows에서 키오스크 환경을 지원합니다.","False","C:\WINDOWS\system32\svchost.exe -k AssignedAccessManagerSvc","Manual","AssignedAccessManagerSvc","System.ServiceProcess.ServiceController[]","False","False","False","AssignedAccessManager 서비스","System.ServiceProcess.ServiceController[]",".","AssignedAccessManagerSvc","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32ShareProcess",,
"LocalSystem","Windows 오디오 서비스에 대한 오디오 장치를 관리합니다. 이 서비스를 중지하면 오디오 장치 및 효과가 제대로 작동하지 않습니다. 이 서비스를 사용하지 않으면 관련된 모든 서비스를 시작할 수 없습니다.","False","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Automatic","AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio Endpoint Builder","System.ServiceProcess.ServiceController[]",".","AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","Automatic","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\LocalService","Windows 기반 프로그램의 오디오를 관리합니다. 이 서비스가 중지되면 오디오 장치 및 효과가 제대로 작동하지 않습니다. 이 서비스를 사용하지 않으면 이 서비스에 명시적으로 종속된 모든 서비스를 시작할 수 없습니다.","False","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","Automatic","Audiosrv","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio","System.ServiceProcess.ServiceController[]",".","Audiosrv","System.ServiceProcess.ServiceController[]","Automatic","Microsoft.Win32.SafeHandles.SafeServiceHandle","Running","Win32OwnProcess",,
"NT AUTHORITY\LocalService","이 서비스는 모바일 네트워크의 NITZ 메시지를 기준으로 시간을 설정합니다.","False","C:\WINDOWS\system32\svchost.exe -k autoTimeSvc","Manual","autotimesvc","System.ServiceProcess.ServiceController[]","False","False","False","셀룰러 시간","System.ServiceProcess.ServiceController[]",".","autotimesvc","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32OwnProcess",,
"LocalSystem","인터넷을 통해 설치한 ActiveX 컨트롤에 대한 사용자 계정 컨트롤의 유효성을 검사하며 그룹 정책 설정에 기반하여 ActiveX 컨트롤 설치를 관리할 수 있도록 합니다. 이 서비스는 요청 시 시작되며, 이 서비스를 사용하지 않도록 설정한 경우 ActiveX 컨트롤 설치는 기본 브라우저의 설정을 따릅니다.","False","C:\WINDOWS\system32\svchost.exe -k AxInstSVGroup","Manual","AxInstSV","System.ServiceProcess.ServiceController[]","False","False","False","ActiveX Installer (AxInstSV)","System.ServiceProcess.ServiceController[]",".","AxInstSV","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","Win32ShareProcess",,
"","이 사용자 서비스는 게임 녹화 및 라이브 브로드캐스트에 사용됩니다","False","C:\WINDOWS\system32\svchost.exe -k BcastDVRUserService","Manual","BcastDVRUserService_7cc3d","System.ServiceProcess.ServiceController[]","False","False","False","BcastDVRUserService_7cc3d","System.ServiceProcess.ServiceController[]",".","BcastDVRUserService_7cc3d","System.ServiceProcess.ServiceController[]","Manual","Microsoft.Win32.SafeHandles.SafeServiceHandle","Stopped","224",,
